Page Source URL,Name Tag,Post Date,Message,Num. of Replies,Post URL,Extraction Date
https://twitter.com/MSFTnews/status/1783851175432917467,@Admkrs,4h,Gut!!! Wir freuen uns auf die beeindruckenden Ergebnisse dieser Partnerschaft.,0,/Admkrs/status/1784554784034369869,28/04/2024 12:36:53
https://twitter.com/MSFTnews/status/1783851175432917467,@CreekHug,Apr 27,Is this you guys or a scam ?,0,/CreekHug/status/1784256838306763185,28/04/2024 12:36:53
https://twitter.com/MSFTnews/status/1783851175432917467,@The_Nano_bits,Apr 26,Exciting collaboration between Estée Lauder Companies and Microsoft! I believe it's going to bring a significant change. Looking forward to seeing the impactful results of this partnership.,0,/The_Nano_bits/status/1783902317391319122,28/04/2024 12:36:53
https://twitter.com/Microsoft/status/1783216848890171902,@Admkrs,4h,Gut!!! Wir freuen uns auf die beeindruckenden Ergebnisse dieser Partnerschaft.,0,/Admkrs/status/1784554784034369869,28/04/2024 12:37:01
https://twitter.com/Microsoft/status/1783216848890171902,@CreekHug,Apr 27,Is this you guys or a scam ?,0,/CreekHug/status/1784256838306763185,28/04/2024 12:37:01
https://twitter.com/Microsoft/status/1783216848890171902,@The_Nano_bits,Apr 26,Exciting collaboration between Estée Lauder Companies and Microsoft! I believe it's going to bring a significant change. Looking forward to seeing the impactful results of this partnership.,0,/The_Nano_bits/status/1783902317391319122,28/04/2024 12:37:01
https://twitter.com/Microsoft/status/1783216848890171902,@RantCell,Apr 25,Exciting!,0,/RantCell/status/1783357129694564663,28/04/2024 12:37:01
https://twitter.com/Microsoft/status/1783216848890171902,@Aquataris,Apr 26,Thank you for making the Authenticator app require a code from the Authenticator app to set up. Now I have to wait thirty days to use my Xbox virtual gift card because the only way to change my phone number is to wait a whole month.,0,/Aquataris/status/1783966174822490433,28/04/2024 12:37:01
https://twitter.com/Microsoft/status/1783216848890171902,@AntiPar2ival,Apr 24,There is a scenario here where we overcorrect and cause more harm than good.,0,/AntiPar2ival/status/1783247802312597729,28/04/2024 12:37:01
https://twitter.com/Microsoft/status/1783216848890171902,@oasisbya,Apr 25,We hope to someday live in a world that is as green as we can possibly achieve as humans,0,/oasisbya/status/1783572752605057333,28/04/2024 12:37:01
